simple_postcode,price,xcoord,ycoord,crime_deprivation,health_deprivation,housing_services_deprivation,education_deprivation,living_environment_deprivation,outdoors_deprivation,geographic_barriers_deprivation,flood_areas_count,commute_hours,commute_distance_km,noise_decibels_mean,noise_decibels_var,lat,long
AL1 ,675853.06440678,515706.89799404,206866.269225699,5.65384615384615,8.96153846153846,5.61538461538462,8.92307692307692,6.73076923076923,5.26923076923077,6.15384615384615,2,1.07488888888889,81.2916,62.3713058853246,31.0773573392049,51.7487839716942,-0.323763391754928
AL10,365797.941558442,521933.044436774,208183.625301896,4.91666666666667,6.41666666666667,2.79166666666667,5.29166666666667,6.5,3.41666666666667,4.79166666666667,2,1.07997222222222,77.5609,62.7712672079068,41.0980865645211,51.7570055190723,-0.212485355595678
AL2 ,563783.162650602,515282.28802228,203612.786361972,5.15789473684211,9.05263157894737,4.73684210526316,7.31578947368421,6.47368421052632,4.31578947368421,4.8421052631579,2,1.01880555555556,79.2228,62.5362505362505,34.7370464834528,51.727963681775,-0.315831555952149
AL3 ,723906.580912863,512441.226203544,210001.377616909,6.05555555555556,9.16666666666667,4.27777777777778,8.33333333333333,7.11111111111111,6.27777777777778,3.88888888888889,0,1.20380555555556,90.5884,63.652152878568,41.7652542558386,51.8021717698154,-0.387253704341329
AL4 ,620456.197860963,517742.952222826,209666.379928033,7.4,9.53333333333333,4.53333333333333,9.13333333333333,8.13333333333333,6.26666666666667,4.06666666666667,1,1.13602777777778,89.4069,62.4780141843972,34.5969200054741,51.7959004873347,-0.286024642466765
AL5 ,819523.333333333,513727.453284209,214422.585547473,8,9.68421052631579,5.57894736842105,9.42105263157895,8.73684210526316,6.57894736842105,4,0,1.38069444444444,90.8895,63.7194884626077,40.9315806058874,51.8274590849086,-0.358321944495143
AL6 ,776551.923076923,524051.891794091,216400.801046299,8.29411764705882,8.82352941176471,5.23529411764706,8.58823529411765,7.41176470588235,5.70588235294118,3.47058823529412,1,1.19872222222222,83.863,64.0394736842105,51.1622042912159,51.8250413016609,-0.170254822055547
AL7 ,392702.48,525108.800284669,212407.16995123,5.25,6.1,5.3,4.85,7.8,4.9,6.3,1,1.13680555555556,85.9676,63.6014394961763,48.9868926163872,51.798721875576,-0.188692086630292
AL8 ,545186.211267606,523412.013797346,213181.521726569,5.25,7.75,6.5,7.25,7.75,4,6.5,1,1.10330555555556,85.1321,62.8873639375296,42.7609813528087,51.8021612309184,-0.210105646723646
AL9 ,681268.356164384,524302.349506733,206304.963747073,8.25,9.75,3.25,9.25,6.25,3.5,2,2,0.960222222222222,70.8013,63.0155524605385,39.5477032702911,51.723528376557,-0.173960802669034
B1 1,214099.291666667,406574.096060486,286409.32039594,3.625,2.875,1.375,5.625,2,1.5,8.5,3,2.79841666666667,237.0083,62.2733111207688,27.1973661897068,52.4837399712841,-1.90079242073448
B1 2,202633.333333333,406066.105550384,286896.66069551,4.6,3.4,1.4,5.4,1.6,1.2,5.4,2,2.85047222222222,238.826,62.3160070880095,27.5299647794723,52.4825323579102,-1.91412972451476
B1 3,382302.173913044,405968.921680949,287440.550708635,3,2,1,8,2,1,8,3,2.82069444444444,237.6569,62.2893680800658,27.3132739600042,52.486007788354,-1.90689965447016
B10 ,159520.408163265,410198.695746602,285731.719719626,4.66666666666667,2.125,1.70833333333333,1.20833333333333,1.5,1.20833333333333,8.58333333333333,3,2.84322222222222,234.5552,62.2070482218527,27.6392443870641,52.4675871312406,-1.85688907665802
B11 ,166701.444444444,409692.428596293,283998.09627882,4.71875,2.6875,1.90625,2.15625,1.4375,1.34375,8.1875,3,2.84366666666667,234.4512,62.3008348240906,28.714132525044,52.4532212548706,-1.85155484587901
B12 ,179652.173913044,407893.51037694,284792.548226164,2.72727272727273,1.90909090909091,1.18181818181818,3.45454545454545,2.27272727272727,1.45454545454545,7.36363636363636,3,2.894,240.6789,62.2799304127788,27.5444732975614,52.4595290240049,-1.88999977760832
B13 ,325494.657303371,408342.858304458,282314.089112614,3.03571428571429,3.25,3.39285714285714,6.92857142857143,1.71428571428571,1.85714285714286,6.96428571428571,3,2.93191666666667,205.5241,62.2966629515505,28.1820482654232,52.4328103422951,-1.88053748383302
B14 ,262938.300380228,407612.786318085,279974.98835688,3.17857142857143,3.03571428571429,3.89285714285714,4.32142857142857,2.5,3.10714285714286,6.75,2,2.85175,202.4228,62.3052325581395,28.2115398023668,52.4129038168433,-1.88781213415294
B15 ,950652.882352941,405581.159057758,285488.957748661,3.88235294117647,4.29411764705882,1.82352941176471,6.94117647058824,2.41176470588235,1.76470588235294,4.88235294117647,2,2.94747222222222,241.5061,62.3781930775185,28.3114824080605,52.4586143484883,-1.92361415313044
B16 ,251857.051546392,404626.638513097,286544.383019109,3.76923076923077,3.46153846153846,2.15384615384615,5.30769230769231,1.38461538461538,1.76923076923077,7.92307692307692,2,2.88008333333333,240.5112,62.4242787261655,28.7447526994256,52.4824869034155,-1.93620109783885
B17 ,369312.604395604,402964.641746066,284856.647233906,4.17647058823529,4.35294117647059,3.82352941176471,8.11764705882353,2,2.11764705882353,5.64705882352941,2,2.98736111111111,244.0311,62.294290241183,27.5527661056612,52.4626420470253,-1.9725068831033
B18 ,518021.111111111,405221.771145422,288135.03745781,2.36363636363636,2.18181818181818,1.63636363636364,1.72727272727273,2.27272727272727,1.54545454545455,7.72727272727273,2,2.83158333333333,237.9051,62.336366749841,28.0146040999532,52.496695849398,-1.93069464019747
B19 ,188642.857142857,406509.396669767,288876.818156916,2.57142857142857,2.42857142857143,1.57142857142857,1.5,2.14285714285714,1.07142857142857,9.21428571428571,2,2.80516666666667,236.6504,62.2960798636474,27.3741031668951,52.4997402808029,-1.90964429564208
B20 ,215125.721649485,405605.244089334,290790.661969785,3.86363636363636,3.72727272727273,2.54545454545455,3.95454545454545,2.27272727272727,1.54545454545455,7.77272727272727,2,2.87927777777778,239.713,62.2633985267971,27.3729566469497,52.518968752933,-1.9191544672529
B21 ,174466.666666667,404071.31731239,289933.136853608,3.33333333333333,3.06666666666667,2.13333333333333,1.8,1.6,1.26666666666667,8.06666666666667,2,2.87716666666667,239.416,62.4104568775959,28.9827092566553,52.5083668233692,-1.95085926391241
B23 ,173826.912663756,409954.172364341,292274.166933947,3.30555555555556,2.02777777777778,2.72222222222222,3.61111111111111,1.63888888888889,1.63888888888889,6.11111111111111,3,2.79455555555556,235.75,62.09841160221,27.6651347430343,52.5285068415145,-1.85589611721111
B24 ,263044.447154472,411836.391051602,291362.97006056,4.61111111111111,2.38888888888889,2.83333333333333,3.33333333333333,2.61111111111111,1.66666666666667,5.66666666666667,3,2.74208333333333,231.42,62.1406199021207,29.3703970315146,52.5203502776037,-1.82345570112364
B25 ,178212.457142857,412320.605613944,285403.923218451,3.36363636363636,2.72727272727273,2.09090909090909,3.18181818181818,1.09090909090909,1.45454545454545,6.18181818181818,4,2.80388888888889,232.9333,62.1847743187964,29.1868379170994,52.4686050595882,-1.81527709818815
B26 ,201089.403409091,414408.461431928,284869.326080113,4.72,3.88,3.16,3.32,1.84,2.44,5.44,4,2.74505555555556,229.4428,61.9478744353064,31.525317828532,52.4609117934014,-1.76866638043073
B27 ,198123.106060606,412168.758643687,282930.827811623,3.52941176470588,2.76470588235294,3.11764705882353,3.76470588235294,2.17647058823529,3.29411764705882,7.58823529411765,4,2.81338888888889,232.5297,62.2816110397946,30.6917712629641,52.4411491323876,-1.82026306707384
B28 ,249185.465968586,410754.914100198,281005.999156626,5.21428571428571,4.57142857142857,3.5,6.5,2.85714285714286,2.71428571428571,5.42857142857143,4,2.85275,235.9134,62.3739325097422,31.0707764826752,52.4269145251927,-1.83541820377104
B29 ,260301.60326087,403740.309291033,282267.218803559,3.41379310344828,2.75862068965517,2.79310344827586,5.41379310344828,2.6551724137931,2.37931034482759,6.41379310344828,2,2.99652777777778,244.5981,62.3548031170264,28.7103129629586,52.4342435328752,-1.95009617832848
B30 ,273033.214285714,405075.101193107,280431.876174689,4.3125,3.375,3.8125,7,2.5,2.375,6.0625,2,2.95297222222222,206.1691,62.4043227906201,29.0407324386117,52.4186248595961,-1.93770207472696
B31 ,290508.302158273,401854.007045514,278926.066076226,3.22857142857143,3.37142857142857,3.31428571428571,4,3.11428571428571,2.88571428571429,5.74285714285714,0,2.99919444444444,207.8833,62.445499773858,30.7299254654529,52.4009666493849,-1.99314065920094
B32 ,236235.901840491,400519.158666457,283394.008500158,4.3,2.5,2.8,3.45,2.9,2.6,6.35,0,3.05344444444444,258.9965,62.2306317453771,27.4165564756125,52.4460651732008,-1.99420037245558
B33 ,170455.6,414406.390635143,286945.66435143,3.14285714285714,1.85714285714286,2.23809523809524,1.42857142857143,1.76190476190476,1.80952380952381,7.14285714285714,3,2.75066666666667,228.5318,62.1693083573487,30.1750790828763,52.4834727344164,-1.79131563700794
