cand,postcode
1003581,BL47NY
1006864,BN211TX
1010938,BS140JT
1013915,BS4 2BU
1015421,BS9 3JW
1018898,BT35 6JE
1021809,BT51 4UF
1025667,CA15 7AS
1028270,CB9 SLX
1031031,CF62 6LW
1033969,CH60 2TU
1036421,CM2 8JF
1040580,CROSLA
1043945,CT51LW
1045827,Cv213PT
1049818,CW8 3LY
1052232,DD22DE
1055238,""
1057219,DH3 3DF
1060521,DN12 4EF
1063321,DN49HD
1067824,£114TD
1069166,E27BJ
1072619,EH17 7LJ
1075778,EH9 1LY
1078816,EX32 8HU
1082098,FY45EF
1084239,G225DD
1088793,G73 2RL
1091511,GL3 4TN
1094309,GU2 9QU
1096781,HAO 2PH
1099103,HD2 2BT
1103518,HR8 2EH
1106025,HX27TG
1109696,IP186EJ
1111161,IP33 3AW
1114943,KT12PU
1117063,KT48EW
1120055,""
1124936,LA18 4PH
1127432,LE183YE
1130893,LL19 9SHF
1132580,LNS 9PY
1136003,LS27 8WG
1138928,M114PL
1141007,M23 2YR
1145884,ME12DR
1147480,ME2 2RR
1151991,ML2 9BF
1154578,N16 OHT
1156854,N9 8NF
1160227,NE349QD
1163466,NG161FR
1165835,NG318PQ
1168321,NN11 5XB
1171744,NP22 3SB
1174789,NR30 1BG
1178906,NW8 9RH
1181222,OL45LF
1183057,OX16 5BH
1187884,PE15 OXT
1189101,PE262YR
1192662,PL242QJ
1196631,PO301QF
1199370,PR28AT
1201503,RG109EN
1205458,RH11 ORA
1207144,""
1211073,$251ZD
1214903,$702HX
1216754,S93AY
1220656,SE19 1JE
1223771,SG29PD
1225362,SK14 2SY
1229623,SL9 OAX
1232484,$014 0EU
1235607,S053 1EY
1238761,$S118DN
1241622,$T179NB
1243299,ST63HL
1246479,SW1X9RT
1250131,TAG 4NS
1252485,N13 2SN
1256567,""
1259711,TS19 OLH
1262994,TW17 9AE
1265137,UB6 8LL
1267171,W1G 8UR
1270556,‘ws 1NQ
1273337,WAS 4LH
1276800,WF102AH
1280067,'WN4 0SS
1283545,'WS3 2LA
1285033,‘WV140RA
1289340,BL3 1RP
1292695,N18 1AA
1295918,""
1297703,B14 4JP
1301212,BB6 7NE
1304723,BN20 9JB
1306942,BS37 4NJ
1310582,CA16 6PE
1313773,""
1315669,CM3 6DW
1319013,CV357RA
1321973,""
1324213,""
1327302,DY90EQ
1330229,EN2 6BU
1334396,G69 9JG
1336464,GU12 5JT
1340616,HR11QA
1342441,1G11 8AT
1346414,KT171QG
1349510,LA7 7BW
1351629,LL16 4RD
1355631,M191QP
1357220,""
1360352,NE15 ONS
1364738,NN3 2PS
1367134,NR30 3HP
1369163,OL45LA
1373037,PE9 1SJ
1376921,PRS 8JU
1379749,RH2 8NY
1382272,""
1385452,SG52UP
1388575,SN3 6LU
1391288,$$129AD
1394190,""
1397712,‘TF6 6PF
1400501,TR14 8AS
1402227,TS7 8RP
1405575,""
1409455,""
1411143,AB107HQ
1415225,B19 1DU
1417044,B48 7EH
